x,"\Delta\ edges R1 \rightarrow\ unreduced","\Delta\ edges R2 \rightarrow\ R1","\Delta\ edges R3 \rightarrow\ R2","# edges after R3",ncols
1,4484,3085,3053,2076,73
2,4572,2997,2951,2169,78
3,4693,3261,3219,2047,73
4,4768,3293,3256,2743,77
5,4781,3325,3284,2437,73
6,4906,3363,3309,2755,77
7,5060,3385,3329,2804,78
8,5505,3857,3796,2917,76
9,5947,3965,3886,3268,78
10,6405,4410,4318,3429,77
11,6671,4561,4478,3634,77
12,6830,4793,4698,3581,77
13,6842,4587,4454,3786,57
14,7215,5309,5181,4073,57
15,7755,5468,5298,4279,57
16,8658,6112,5925,4598,57
17,9730,8603,8602,6010,93
18,10373,6750,6495,5670,55
19,10373,7026,6778,5760,55
20,11537,7687,7428,6095,57
21,13282,8015,7965,4967,93
22,19642,10281,9886,7640,98
23,26473,12817,12393,10866,99
24,31219,21695,21459,19109,98
25,31402,9363,7978,5925,96
26,31637,23020,22529,20075,99
27,35682,5851,5119,4248,97
28,38237,2184,1959,1435,36
29,39541,29381,28868,25541,99
30,40165,13879,12233,11025,95
31,42338,18278,17354,14791,97
32,43221,16140,14338,12636,95
33,43416,30277,29803,25865,100
34,43600,25681,24892,21035,98
35,45578,5600,3924,3401,99
36,46824,23141,22369,19830,98
37,47499,4621,3565,3012,100
38,48926,20039,18974,16221,100
39,49305,26880,25852,21669,99
40,51259,18976,17857,15300,99
41,51812,25308,24054,21301,99
42,51976,19741,17666,14857,94
43,53672,8491,7352,5653,97
44,55669,35571,34892,30332,100
45,55674,19325,16984,14975,95
46,57424,40357,39204,35230,100
47,57432,26027,24605,21245,99
48,58178,27461,25987,22222,98
49,61182,42154,40841,36299,100
50,62570,7475,5923,5305,99
51,63051,20105,17225,15030,91
52,63102,17386,14472,12950,90
53,64381,41812,40803,36732,100
54,65004,27940,26616,22110,99
55,65087,44152,43319,38173,100
56,65173,2633,2232,1658,97
57,65744,41951,40958,35933,100
58,70467,5987,5201,4506,99
59,71363,36647,34960,30873,99
60,71751,50448,49195,43307,100
61,74564,35560,33811,29146,99
62,75007,4554,3603,3032,100
63,75333,11978,10552,8621,97
64,79667,12283,10743,8820,97
65,83297,11320,9730,8107,97
66,83538,5744,4885,3956,100
67,88518,13036,11218,9051,96
68,89633,9283,7946,6984,98
69,89935,29889,25993,23694,90
70,90212,60798,59047,53263,100
71,90218,25419,22079,18726,96
72,94667,10098,8582,7143,99
73,95010,61642,59758,51316,100
74,96181,35348,31583,27728,95
75,103754,560,332,166,88
76,107191,7059,4179,2814,89
77,109812,10583,9368,7705,100
78,112462,14689,12340,10044,100
79,116471,7549,6016,4883,99
80,118064,30325,27158,22685,95
81,121265,13204,10198,5325,80
82,121883,1491,922,650,89
83,131610,38587,32303,27407,99
84,132034,26002,23092,18647,95
85,132294,561,308,126,89
86,134913,18297,15615,13059,100
87,140595,5368,3448,2346,89
88,142140,2880,1965,1046,88
89,142863,9092,7745,6142,99
90,143664,43621,39364,33903,95
91,149495,2588,1727,1089,89
92,149549,8738,6314,5023,94
93,151603,17191,14446,11965,100
94,175393,10888,7046,4467,46
95,179318,43243,38023,31945,95
96,181727,9096,5695,3649,47
97,185228,4226,2328,1810,94
98,203725,6782,3574,1735,46
99,208176,5721,3138,1633,46
100,218431,7801,4703,2548,46
